ko,en,jk0,jk1,4,5,6,7,8,9,10,11,12,13
스토리 모드,Story Mode,故事模式,0,0,0,0,0,0,0,0,0,0,0
제작맵 & 창작마당 하기,Making Puzzles & WorkShop Play,1,1,1,1,1,1,1,1,1,1,1,1
퍼즐 제작,Making Puzzles,2,2,2,2,2,2,2,2,2,2,2,2
용용 꾸미기,Yong Yong Decorating,3,3,3,3,3,3,3,3,3,3,3,3
언어 설정,Language Setting,4,4,4,4,4,4,4,4,4,4,4,4
종료,Exit,5,5,5,5,5,5,5,5,5,5,5,5
메뉴,Menu,6,6,6,6,6,6,6,6,6,6,6,6
성공:모든별획득,Success:Pick All Stars,7,7,7,7,7,7,7,7,7,7,7,7
실패:용용사망,Failure:Yongyong Death,8,8,8,8,8,8,8,8,8,8,8,8
실패:무한루프,Failure:Infinite Loop,9,9,9,9,9,9,9,9,9,9,9,9
여정의 시작,the beginning of a journey,10,10,10,10,10,10,10,10,10,10,10,10
속도 함정의 비밀,Secret of the Speed Barrier,11,11,11,11,11,11,11,11,11,11,11,11
순간이동 함정,teleport trap,12,12,12,12,12,12,12,12,12,12,12,12
함정을 조심해!,Watch the trap!,13,13,13,13,13,13,13,13,13,13,13,13
역주행 함정은 꿀잼!,The trap of climbing the charts is so much fun!,14,14,14,14,14,14,14,14,14,14,14,14
서로 다른 순간이동,Differences in Teleportation,15,15,15,15,15,15,15,15,15,15,15,15
감염된 칭구들,infected friends,16,16,16,16,16,16,16,16,16,16,16,16
감염된 칭구를 조심해,Watch out for your infected friends,17,17,17,17,17,17,17,17,17,17,17,17
정조준!사격!,Jung Jo Jun! Shoot!,18,18,18,18,18,18,18,18,18,18,18,18
비집고 들어가!,Push it in!,19,19,19,19,19,19,19,19,19,19,19,19
상하좌우대칭,top-to-bottom symmetry,20,20,20,20,20,20,20,20,20,20,20,20
미끼는 조심해!,Watch out for the bait!,21,21,21,21,21,21,21,21,21,21,21,21
한숨 돌렸어>_<,Took a breather.>_<,22,22,22,22,22,22,22,22,22,22,22,22
쥐는 너무 무서워,Rats are so scary.,23,23,23,23,23,23,23,23,23,23,23,23
눈물나는 희생,a tearful sacrifice,24,24,24,24,24,24,24,24,24,24,24,24
빙글빙글 어질 어질~,Twinkle twinkle twinkle twinkle twinkle twinkle twinkle~,25,25,25,25,25,25,25,25,25,25,25,25
가장 빠르게 가는법,the fastest way to go,26,26,26,26,26,26,26,26,26,26,26,26
회전 발판은 어려워ㅠㅠ,It's hard to turn the wheel.ㅠㅠ,27,27,27,27,27,27,27,27,27,27,27,27
이런건 쉽다구~,This is easy.~,28,28,28,28,28,28,28,28,28,28,28,28
회전 발판은 눈아퍼ㅜㅅㅜ,The rotating tread plate hurts.ㅜㅅㅜ,29,29,29,29,29,29,29,29,29,29,29,29
부릉부릉 빵빵~,"Vroom, vroom, vroom!",30,30,30,30,30,30,30,30,30,30,30,30
이제 점프 함정!,Now jump trap!,31,31,31,31,31,31,31,31,31,31,31,31
점프? 이거 대단하잖아?,Jump? Isn't this amazing.,32,32,32,32,32,32,32,32,32,32,32,32
나를 밟고가,Step on me.,33,33,33,33,33,33,33,33,33,33,33,33
점프는 재밌어!,Jumping is fun!,34,34,34,34,34,34,34,34,34,34,34,34
직사각형,Rectangle,35,35,35,35,35,35,35,35,35,35,35,35
쉬운 점프,Easy Jump,36,36,36,36,36,36,36,36,36,36,36,36
무서운 심해어,Scary deep-sea fish,37,37,37,37,37,37,37,37,37,37,37,37
배터리 충전중…,Battery charging…,38,38,38,38,38,38,38,38,38,38,38,38
식인 고래?,A cannibal whale?,39,39,39,39,39,39,39,39,39,39,39,39
40,40,40,40,40,40,40,40,40,40,40,40,40,40
41,41,41,41,41,41,41,41,41,41,41,41,41,41
42,42,42,42,42,42,42,42,42,42,42,42,42,42
43,43,43,43,43,43,43,43,43,43,43,43,43,43
44,44,44,44,44,44,44,44,44,44,44,44,44,44
45,45,45,45,45,45,45,45,45,45,45,45,45,45
46,46,46,46,46,46,46,46,46,46,46,46,46,46
47,47,47,47,47,47,47,47,47,47,47,47,47,47
최소 횟수,minimum number of times,48,48,48,48,48,48,48,48,48,48,48,48
